label,type,name,status,file,line
cor:nms-affine-boundary-tree,corollary,Boundary-generated quartic nonlinearity; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,898
thm:nms-critical-level-emergence,theorem,Critical-level emergence; \ClaimStatusConjectured,Conjectured,appendices/nonlinear_modular_shadows.tex,919
cor:nms-critical-mc,corollary,Critical self-duality as Maurer--Cartan; \ClaimStatusConjectured,Conjectured,appendices/nonlinear_modular_shadows.tex,939
thm:nms-betagamma-quartic-birth,theorem,\texorpdfstring{$\beta\gamma$}{betagamma} quartic birth; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,965
cor:nms-betagamma-mu-vanishing,corollary,Vanishing of the quartic contact invariant; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,989
cor:nms-betagamma-boundary-law,corollary,Pure contact boundary law; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1013
thm:nms-archetype-trichotomy,theorem,Primitive nonlinear archetype trichotomy; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1030
thm:nms-rank-one-rigidity,theorem,Rank-one abelian rigidity; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1051
thm:nms-universal-gravitational-cubic,theorem,Universal gravitational cubic tensor; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1077
thm:nms-virasoro-mixed-shadow,theorem,Virasoro mixed shadow theorem; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1115
thm:nms-virasoro-quartic-explicit,theorem,Explicit Virasoro quartic contact coefficient; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1143
cor:nms-virasoro-cubic-leading,corollary,Cubic-leading Virasoro at the uncurved point; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1215
thm:nms-w3-mixed-shadow-normal-form,theorem,\texorpdfstring{$\mathcal W_3$}{W3} mixed-shadow normal form; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1245
prop:nms-w3-visible-resonance-factor,proposition,Visible quartic resonance factor for \texorpdfstring{$\mathcal W_3$}{W3}; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1284
thm:nms-principal-wn-hessian-cubic,theorem,Diagonal Hessian and universal cubic sector for principal \texorpdfstring{$\mathcal W_N$}{WN}; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1324
thm:nms-principal-wn-contact-nonvanishing,theorem,Nonvanishing of contact quartics for principal \texorpdfstring{$\mathcal W_N$}{WN}; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1342
cor:nms-principal-wn-mixed,corollary,Principal \texorpdfstring{$\mathcal W_N$}{WN} is mixed cubic--quartic; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1358
prop:nms-basis-independence-specialization,proposition,Basis independence and specialization; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1467
thm:nms-boundary-filtration-quartic-envelope,theorem,Boundary filtration of the quartic envelope; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1519
thm:nms-clutching-law-modular-resonance,theorem,Clutching law for the modular quartic resonance class; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1543
thm:nms-first-nonlinear-shadow-theta,theorem,The first nonlinear shadow of \texorpdfstring{$\Theta_{\cA}$}{ThetaA}; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1617
cor:nms-family-boundary-behavior,corollary,Family-by-family boundary behavior; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1630
prop:nms-functoriality-duality-quartic,proposition,Functoriality and duality through quartic order; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1699
thm:nms-all-arity-master-equation,theorem,All-arity master equation; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1802
cor:nms-quintic-master-equation,corollary,The quintic master equation; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1825
thm:nms-quintic-frame-families,theorem,Quintic shadow for the three frame families; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1845
thm:nms-virasoro-quintic-forced,theorem,The Virasoro quintic is forced; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1864
thm:nms-finite-termination,theorem,Finite termination for primitive archetypes; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1883
thm:nms-all-arity-separating-boundary,theorem,All-arity separating boundary recursion; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1908
cor:nms-quintic-separating-boundary,corollary,Quintic separating boundary recursion; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1924
prop:nms-genus-loop-properties,proposition,Basic properties of the genus loop operator; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1970
thm:nms-nonseparating-clutching-law,theorem,Non-separating clutching law for the shadow tower; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,1987
cor:nms-genus-one-hessian-correction,corollary,Genus-$1$ Hessian correction from genus-$0$ quartic shadow; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2011
thm:nms-genus-loop-model-families,theorem,Genus loop operator on the model families; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2035
thm:nms-beyond-ahat,theorem,The modular invariant hierarchy beyond $\hat{A}$; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2118
thm:nms-unified-summary,theorem,Ambient complementarity and nonlinear modular shadows; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2152
prop:nms-nonlinear-phase-standard,proposition,Nonlinear phase of the standard families; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2351
thm:nms-bipartite-complementarity,theorem,Bipartite complementarity principle; \ClaimStatusConjectured,Conjectured,appendices/nonlinear_modular_shadows.tex,2440
prop:nms-basis-independence-specialization-restated,proposition,Basis independence and specialization; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2710
thm:nms-clutching-law-modular-resonance-restated,theorem,Clutching law for the modular quartic resonance class; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2738
cor:nms-family-boundary-behaviour,corollary,Family-by-family boundary behaviour; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2768
thm:nms-genus-loop-model-families-restated,theorem,Genus loop operator on the model families; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2894
thm:nms-beyond-ahat-restated,theorem,The modular invariant hierarchy beyond $\hat{A}$; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2962
thm:nms-unified-summary-restated,theorem,Ambient complementarity and nonlinear modular shadows; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,2994
thm:reduced-weight-finiteness,theorem,Reduced-weight finiteness; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,3197
thm:window-locality,theorem,Window locality; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,3285
cor:exact-stabilization,corollary,Exact stabilization; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,3307
lem:bicom-e,lemma,Bicomodules as comodules over the enveloping coalgebra,ProvedHere,appendices/ordered_associative_chiral_kd.tex,215
thm:shuffle,theorem,Ordered chiral shuffle theorem,ProvedHere,appendices/ordered_associative_chiral_kd.tex,298
thm:opposite,theorem,Opposite-duality for ordered bar coalgebras,ProvedHere,appendices/ordered_associative_chiral_kd.tex,403
cor:anti,corollary,Anti-involutions survive duality,ProvedHere,appendices/ordered_associative_chiral_kd.tex,444
lem:closure,lemma,Closure of admissibility under opposite and enveloping constructions,ProvedHere,appendices/ordered_associative_chiral_kd.tex,458
cor:enveloping,corollary,Enveloping duality,ProvedHere,appendices/ordered_associative_chiral_kd.tex,469
lem:Kbi-dg,lemma,,ProvedHere,appendices/ordered_associative_chiral_kd.tex,532
prop:one-defect,proposition,,ProvedHere,appendices/ordered_associative_chiral_kd.tex,559
thm:tangent=K,theorem,Tangent identification,ProvedHere,appendices/ordered_associative_chiral_kd.tex,581
cor:infdual,corollary,Infinitesimal dual coalgebra,ProvedHere,appendices/ordered_associative_chiral_kd.tex,618
prop:infann,proposition,Infinitesimal annular variation,ProvedHere,appendices/ordered_associative_chiral_kd.tex,641
thm:bimod-bicomod,theorem,PBW-complete bimodule/bicomodule equivalence,ProvedHere,appendices/ordered_associative_chiral_kd.tex,693
thm:diagonal,theorem,Diagonal correspondence,ProvedHere,appendices/ordered_associative_chiral_kd.tex,726
cor:unit,corollary,The diagonal is the unit for composition,ProvedHere,appendices/ordered_associative_chiral_kd.tex,774
cor:tensor-cotensor,corollary,Tensor--cotensor gluing,ProvedHere,appendices/ordered_associative_chiral_kd.tex,792
thm:HH-coHH-homology,theorem,Associative chiral Hochschild/coHochschild homology,ProvedHere,appendices/ordered_associative_chiral_kd.tex,821
thm:HH-coHH-cohomology,theorem,Associative chiral Hochschild/coHochschild cohomology,ProvedHere,appendices/ordered_associative_chiral_kd.tex,853
cor:annulus,corollary,The annulus as self-cotrace,ProvedHere,appendices/ordered_associative_chiral_kd.tex,879
cor:cap,corollary,Cap action,ProvedHere,appendices/ordered_associative_chiral_kd.tex,899
thm:pair-of-pants,theorem,Ordered pair-of-pants algebra,ProvedHere,appendices/ordered_associative_chiral_kd.tex,954
thm:ordered-open,theorem,Ordered genus-zero open trace formalism,ProvedHere,appendices/ordered_associative_chiral_kd.tex,992
thm:CY,theorem,Shifted ordered Frobenius structure,ProvedHere,appendices/ordered_associative_chiral_kd.tex,1046
cor:cardy,corollary,Cardy operator on the coalgebra side,ProvedHere,appendices/ordered_associative_chiral_kd.tex,1095
thm:master,theorem,Master theorem,ProvedHere,appendices/ordered_associative_chiral_kd.tex,1119
prop:graded-jacobi,proposition,Graded Jacobi identity; \ClaimStatusProvedHere,ProvedHere,appendices/signs_and_shifts.tex,39
lem:composition-signs,lemma,Sign rule for compositions \cite{LV12}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,90
prop:duality-grading,proposition,Duality and grading reversal; \ClaimStatusProvedHere,ProvedHere,appendices/signs_and_shifts.tex,168
prop:susp-diff,proposition,Suspension and differentials; \ClaimStatusProvedHere,ProvedHere,appendices/signs_and_shifts.tex,272
cor:iterated-susp,corollary,Iterated suspension \cite{LV12}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,300
prop:susp-koszul,proposition,Suspension and Koszul duality \cite{LV12}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,327
prop:det-properties,proposition,Properties of determinant lines \cite{Weibel94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,356
lem:det-ordering,lemma,Determinant and ordering \cite{Weibel94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,388
prop:det-config,proposition,Determinant lines on configuration spaces \cite{FM94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,411
prop:det-residue,proposition,Determinant and residues \cite{Har77}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,453
thm:det-bar-cobar-signs,theorem,Determinant conventions and bar-cobar signs \cite{LV12}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,468
prop:master-sign,proposition,Master sign formula {\cite{LV12}}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,569
prop:orient-fm,proposition,Orientation system on FM compactification \cite{FM94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/signs_and_shifts.tex,650
lem:residue-orient,lemma,"Residue and orientation \cite{FM94, Har77}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/signs_and_shifts.tex,680
prop:LV-conversion-complete,proposition,Loday--Vallette conversion; \ClaimStatusProvedHere,ProvedHere,appendices/signs_and_shifts.tex,1085
thm:convergence-criterion-spectral,theorem,Convergence criterion; \ClaimStatusProvedHere,ProvedHere,appendices/spectral_higher_genus.tex,25
thm:degeneration-special-c,theorem,"Degeneration at \texorpdfstring{$E_2$}{E2} \cite{FLM88, FBZ04}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/spectral_higher_genus.tex,56
thm:bar-spectral-sequence-config,theorem,Bar spectral sequence \cite{BD04}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_higher_genus.tex,100
thm:early-pages,theorem,Identification of early pages; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,77
thm:classical-convergence,theorem,Classical convergence theorem \cite{Weibel94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,122
prop:first-quadrant,proposition,First quadrant spectral sequences; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,159
thm:zeeman,theorem,Zeeman comparison theorem; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,188
thm:spectral-sequence-filtered-dg,theorem,Spectral sequence of a filtered dg Lie algebra; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,207
prop:complete-filt-convergence,proposition,"Convergence for complete filtrations \cite{Weibel94, Boardman-conditional}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/spectral_sequences.tex,237
thm:bar-ss,theorem,Bar spectral sequence; \ClaimStatusProvedHere,ProvedHere,appendices/spectral_sequences.tex,270
prop:degen-koszul,proposition,Degeneration for Koszul algebras; \ClaimStatusProvedHere,ProvedHere,appendices/spectral_sequences.tex,322
thm:genus-ss,theorem,Genus spectral sequence \cite{BD04}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,371
prop:central-charge-d1,proposition,Central charge and \texorpdfstring{$d_1$}{d1}; \ClaimStatusProvedHere,ProvedHere,appendices/spectral_sequences.tex,386
thm:genus-ss-convergence,theorem,"Convergence of genus spectral sequence \cite{Weibel94, BD04}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/spectral_sequences.tex,424
thm:chevalley-cousin-ss,theorem,"Chevalley--Cousin spectral sequence \cite{Har77, KS90}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/spectral_sequences.tex,468
thm:cousin-resolution,theorem,Cousin resolution for holonomic D-modules \cite{KS90}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,504
prop:bar-ss-mult,proposition,Bar spectral sequence is multiplicative \cite{LV12}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,536
thm:mult-ss-conv,theorem,Convergence of multiplicative spectral sequences \cite{Weibel94}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/spectral_sequences.tex,549
thm:bv-bar-bridge,theorem,Bridge theorem: BV complex = bar complex; \ClaimStatusProvedHere,ProvedHere,chapters/connections/bv_brst.tex,21
thm:bv-bar-geometric,theorem,BV complex = geometric bar complex; \ClaimStatusProvedElsewhere,ProvedElsewhere,chapters/connections/bv_brst.tex,150
thm:qme-bar-cobar,theorem,Quantum master equation as Maurer--Cartan equation; \ClaimStatusProvedHere,ProvedHere,chapters/connections/bv_brst.tex,221
thm:genus0-amplitude-bar,theorem,"Genus-\texorpdfstring{$0$}{0} amplitudes from bar complex;
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,277
thm:brst-physical-states,theorem,BRST cohomology = physical states; \ClaimStatusProvedElsewhere{} \cite{CG17},ProvedElsewhere,chapters/connections/bv_brst.tex,338
thm:log-form-ghost-law,theorem,"Ghost transformation law for log forms;
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,361
lem:brst-nilpotence,lemma,BRST nilpotence; \ClaimStatusProvedElsewhere{} \cite{FGZ86},ProvedElsewhere,chapters/connections/bv_brst.tex,442
thm:brst-bar-genus0,theorem,"Genus-\texorpdfstring{$0$}{0} BRST-bar quasi-isomorphism;
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,464
cor:anomaly-physical-genus0,corollary,"Physical anomaly cancellation at genus \texorpdfstring{$0$}{0};
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,615
thm:bar-semi-infinite-km,theorem,"Bar complex = semi-infinite complex for KM;
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,711
cor:anomaly-duality-km,corollary,"Anomaly duality for Kac--Moody pairs;
\ClaimStatusProvedHere",ProvedHere,chapters/connections/bv_brst.tex,815
