issue_id,part,chapter_file,chapter_pages,section_page,line,heading,nearest_heading,kind,status,severity,snippet,action,algorithm
I0034,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,7026,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,"Equivalently, the live mixed stage-$4$ frontier splits into one",Prune internal-project vocabulary from running prose,ALG-I
I0035,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,7228,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\begin{corollary}[Stage-$4$ frontier after theorematic mixed,Prune internal-project vocabulary from running prose,ALG-I
I0036,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,7289,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\begin{proposition}[Exact MC4 frontier packet for the standard,Prune internal-project vocabulary from running prose,ALG-I
I0037,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,7355,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,$\mathcal{J}_4$ to the frontier of,Prune internal-project vocabulary from running prose,ALG-I
I0038,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,7356,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,Proposition~\ref{prop:winfty-mc4-frontier-package} has been,Prune internal-project vocabulary from running prose,ALG-I
I0039,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,294,7551,\subsection{Mathematical foundations: three regimes},\subsection{Mathematical foundations: three regimes},narrative-meta,must-upgrade,high,scope of the present chapter.,Prune internal-project vocabulary from running prose,ALG-I
I0040,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,295,7811,"\subsubsection{\texorpdfstring{Regime II: curved differential ($m_1^2 = [\mu_0, -]$, central curvature)}{Regime II: curved differential (m1 squared = commutator with mu0, central curvature)}}","\subsubsection{\texorpdfstring{Regime II: curved differential ($m_1^2 = [\mu_0, -]$, central curvature)}{Regime II: curved differential (m1 squared = commutator with mu0, central curvature)}}",narrative-meta,must-upgrade,high,fall outside the scope of Theorem~\ref{thm:central-implies-strict}.,Prune internal-project vocabulary from running prose,ALG-I
I0041,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,308,8385,\section{Non-quadratic chiral algebras},\section{Non-quadratic chiral algebras},narrative-meta,must-upgrade,high,whose standard tower is theorematic while the remaining frontier is the,Prune internal-project vocabulary from running prose,ALG-I
I0042,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,311,8549,\subsubsection{Class IV: general (exact MC4 frontier)},\subsubsection{Class IV: general (exact MC4 frontier)},meta-heading,must-upgrade,critical,\subsubsection{Class IV: general (exact MC4 frontier)},Retitle or relocate heading outside theorematic flow,ALG-A
I0043,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,311,8565,\subsubsection{Class IV: general (exact MC4 frontier)},\subsubsection{Class IV: general (exact MC4 frontier)},narrative-meta,must-upgrade,high,"The frontier is now narrower.  For the standard principal-stage tower,",Prune internal-project vocabulary from running prose,ALG-I
I0044,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,312,8619,\subsection{Comparison of the four classes},\subsection{Comparison of the four classes},narrative-meta,must-upgrade,high,\textbf{General / frontier} &,Prune internal-project vocabulary from running prose,ALG-I
I0045,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,312,8622,\subsection{Comparison of the four classes},\subsection{Comparison of the four classes},narrative-meta,must-upgrade,high,OPEN / frontier &,Prune internal-project vocabulary from running prose,ALG-I
I0046,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,319,8981,\subsection{Summary and decision tree},\subsection{Summary and decision tree},narrative-meta,must-upgrade,high,"\item Is the generating space infinite-dimensional? $\Rightarrow$ treat as an exact MC4 frontier: first construct the filtered H-level target, then identify its finite quotients by explicit coefficient identities and fin",Prune internal-project vocabulary from running prose,ALG-I
I0047,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,329,9935,\subsection{Statement of the main result},\subsection{Statement of the main result},narrative-meta,must-upgrade,high,\smallskip\noindent\emph{Scope.},Prune internal-project vocabulary from running prose,ALG-I
I0048,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,342,10899,\subsection{The Taylor expansion of the logarithm},\subsection{The Taylor expansion of the logarithm},narrative-meta,must-upgrade,high,logarithm is a natural target for future work.,Prune internal-project vocabulary from running prose,ALG-I
I0049,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,345,11104,\subsection{Visible theorems},\subsection{Visible theorems},status-conjectured,must-upgrade,high,\ClaimStatusConjectured]\label{conj:factorization-finiteness-criterion},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0050,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,346,11173,\subsection{The monograph as construction of a categorical logarithm},\subsection{The monograph as construction of a categorical logarithm},narrative-meta,must-upgrade,high,These are not five separate programmes.  They are five windows onto a,Prune internal-project vocabulary from running prose,ALG-I
I0085,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,562,839,\subsection{Koszulness verification: the PBW deformation method},\subsection{Koszulness verification: the PBW deformation method},narrative-meta,must-upgrade,high,(Appendix~\ref{app:combinatorial-frontier}) requires,Prune internal-project vocabulary from running prose,ALG-I
I0086,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,576,1627,\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},narrative-meta,must-upgrade,high,\begin{remark}[Frontier completion package],Prune internal-project vocabulary from running prose,ALG-I
I0087,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,576,1634,\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},narrative-meta,must-upgrade,high,"infinite-type algebras, belongs to the frontier package of that",Prune internal-project vocabulary from running prose,ALG-I
I0088,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,576,1636,\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},\subsection{\texorpdfstring{Stage 3: bar construction computes $\mathcal{A}_2^!$}{Stage 3: bar construction computes A-2!}},narrative-meta,must-upgrade,high,the frontier hypotheses of Appendix~\ref{app:nilpotent-completion}.,Prune internal-project vocabulary from running prose,ALG-I
I0089,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,601,3051,\subsection{Motivation: ghost systems},\subsection{Motivation: ghost systems},status-conjectured,must-upgrade,high,\begin{conjecture}[Derived bc-$\beta\gamma$ Koszul duality; \ClaimStatusConjectured]\label{conj:derived-bc-betagamma},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0090,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,601,3078,\subsection{Motivation: ghost systems},\subsection{Motivation: ghost systems},status-conjectured,must-upgrade,high,\ClaimStatusConjectured{} for two independent reasons:,"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0091,Core Theory,chapters/theory/chiral_koszul_pairs.tex,557-606,602,3131,\subsection{Virasoro algebra: beyond the quadratic setting},\subsection{Virasoro algebra: beyond the quadratic setting},narrative-meta,must-upgrade,high,"local OPE blocks, with the genuinely mixed stage-$4$ frontier reduced",Prune internal-project vocabulary from running prose,ALG-I
I0126,Core Theory,chapters/theory/chiral_modules.tex,681-752,685,712,\subsection{Conformal blocks and the bar complex},\subsection{Conformal blocks and the bar complex},narrative-meta,must-upgrade,high,"= \delta_{\sigma,\tau}$, the sum telescopes to the claimed",Prune internal-project vocabulary from running prose,ALG-I
I0127,Core Theory,chapters/theory/chiral_modules.tex,681-752,720,3659,\subsection{When homology is non-trivial},\subsection{When homology is non-trivial},narrative-meta,must-upgrade,high,The failure of acyclicity means the alternating sum does not telescope completely.,Prune internal-project vocabulary from running prose,ALG-I
I0128,Core Theory,chapters/theory/chiral_modules.tex,681-752,731,4779,\subsection{Fusion product preservation under bar-cobar},\subsection{Fusion product preservation under bar-cobar},narrative-meta,must-upgrade,high,Kazhdan--Lusztig programme~\cite{KL93}.  The configuration space,Prune internal-project vocabulary from running prose,ALG-I
I0006,Core Theory,chapters/theory/configuration_spaces.tex,113-176,123,600,\subsection{Logarithmic differential forms},\subsection{Logarithmic differential forms},narrative-meta,must-upgrade,high,"This is the main theorem of \cite{Arnold69, FM94}. The proof uses intersection theory on $\overline{C}_n(\Sigma_g)$ and is beyond our scope here.",Prune internal-project vocabulary from running prose,ALG-I
I0106,Core Theory,chapters/theory/deformation_theory.tex,635-680,646,1337,\subsection{The cyclic deformation complex},\subsection{The cyclic deformation complex},narrative-meta,must-upgrade,high,\begin{remark}[Scope of Theorem~\ref{thm:mc2-1-km}],Prune internal-project vocabulary from running prose,ALG-I
I0107,Core Theory,chapters/theory/deformation_theory.tex,635-680,646,1375,\subsection{The cyclic deformation complex},\subsection{The cyclic deformation complex},narrative-meta,must-upgrade,high,packages the remaining MC2 frontier into three tasks: the intrinsic,Prune internal-project vocabulary from running prose,ALG-I
I0108,Core Theory,chapters/theory/deformation_theory.tex,635-680,657,1941,\subsubsection{The mechanism},\subsubsection{The mechanism},status-conjectured,must-upgrade,high,\begin{conjecture}[Modular periodicity for minimal models; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0109,Core Theory,chapters/theory/deformation_theory.tex,635-680,657,2118,\subsubsection{The mechanism},\subsubsection{The mechanism},status-conjectured,must-upgrade,high,\begin{conjecture}[Modular periodicity for general rational chiral algebras; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0110,Core Theory,chapters/theory/deformation_theory.tex,635-680,657,2153,\subsubsection{The mechanism},\subsubsection{The mechanism},status-conjectured,must-upgrade,high,"rational vertex algebras (\ClaimStatusConjectured), where Zhu's finiteness theorem and Huang's","Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0111,Core Theory,chapters/theory/deformation_theory.tex,635-680,660,2202,\subsubsection{Examples},\subsubsection{Examples},status-conjectured,must-upgrade,high,\begin{conjecture}[Modular periodicity for WZW models; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0112,Core Theory,chapters/theory/deformation_theory.tex,635-680,662,2322,\subsubsection{Koszul dual behavior},\subsubsection{Koszul dual behavior},status-conjectured,must-upgrade,high,\begin{conjecture}[Reflected modular periodicity; \ClaimStatusConjectured]\label{conj:reflected-modular-periodicity},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0113,Core Theory,chapters/theory/deformation_theory.tex,635-680,662,2346,\subsubsection{Koszul dual behavior},\subsubsection{Koszul dual behavior},narrative-meta,must-upgrade,high,\begin{remark}[Scope],Prune internal-project vocabulary from running prose,ALG-I
I0114,Core Theory,chapters/theory/deformation_theory.tex,635-680,662,2347,\subsubsection{Koszul dual behavior},\subsubsection{Koszul dual behavior},status-conjectured,must-upgrade,high,This conjecture is labeled \ClaimStatusConjectured{} because the,"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0115,Core Theory,chapters/theory/deformation_theory.tex,635-680,663,2385,\subsubsection{The quantum group structure},\subsubsection{The quantum group structure},narrative-meta,must-upgrade,high,\begin{remark}[Scope],Prune internal-project vocabulary from running prose,ALG-I
I0116,Core Theory,chapters/theory/deformation_theory.tex,635-680,665,2609,\subsubsection{Genus dependence and nilpotent depth},\subsubsection{Genus dependence and nilpotent depth},status-conjectured,must-upgrade,high,\begin{conjecture}[Geometric amplitude on compactified moduli; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0117,Core Theory,chapters/theory/deformation_theory.tex,635-680,667,2704,\subsection{Stratified periodicity},\subsection{Stratified periodicity},status-conjectured,must-upgrade,high,\begin{conjecture}[Stratified periodicity package (partial); \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0118,Core Theory,chapters/theory/deformation_theory.tex,635-680,667,2810,\subsection{Stratified periodicity},\subsection{Stratified periodicity},status-conjectured,must-upgrade,high,The conjecture is tagged \ClaimStatusConjectured{} because the,"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0119,Core Theory,chapters/theory/deformation_theory.tex,635-680,667,2883,\subsection{Stratified periodicity},\subsection{Stratified periodicity},narrative-meta,must-upgrade,high,\item \emph{Principal rational frontier.},Prune internal-project vocabulary from running prose,ALG-I
I0120,Core Theory,chapters/theory/deformation_theory.tex,635-680,667,2890,\subsection{Stratified periodicity},\subsection{Stratified periodicity},narrative-meta,must-upgrade,high,\item \emph{Outer rational frontier.},Prune internal-project vocabulary from running prose,ALG-I
I0121,Core Theory,chapters/theory/deformation_theory.tex,635-680,667,2914,\subsection{Stratified periodicity},\subsection{Stratified periodicity},narrative-meta,must-upgrade,high,"See \S\ref{subsec:nine-futures}, Future~7 for the programme",Prune internal-project vocabulary from running prose,ALG-I
I0122,Core Theory,chapters/theory/deformation_theory.tex,635-680,672,3016,\subsection{Holographic duality},\subsection{Holographic duality},status-conjectured,must-upgrade,high,\begin{conjecture}[Holographic Koszul duality; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0123,Core Theory,chapters/theory/deformation_theory.tex,635-680,672,3028,\subsection{Holographic duality},\subsection{Holographic duality},narrative-meta,must-upgrade,high,\begin{remark}[Scope],Prune internal-project vocabulary from running prose,ALG-I
I0124,Core Theory,chapters/theory/deformation_theory.tex,635-680,672,3029,\subsection{Holographic duality},\subsection{Holographic duality},narrative-meta,must-upgrade,high,This conjecture lies outside the scope of the present monograph: it is a,Prune internal-project vocabulary from running prose,ALG-I
I0125,Core Theory,chapters/theory/deformation_theory.tex,635-680,672,3039,\subsection{Holographic duality},\subsection{Holographic duality},narrative-meta,must-upgrade,high,"duality framework alone.  In the monograph's frontier order, the",Prune internal-project vocabulary from running prose,ALG-I
I0149,Core Theory,chapters/theory/derived_langlands.tex,,789,16,\chapter{Derived structures and the geometric Langlands correspondence},\chapter{Derived structures and the geometric Langlands correspondence},narrative-meta,must-upgrade,high,point of the geometric Langlands programme into bar-cobar duality.,Prune internal-project vocabulary from running prose,ALG-I
I0150,Core Theory,chapters/theory/derived_langlands.tex,,789,29,\chapter{Derived structures and the geometric Langlands correspondence},\chapter{Derived structures and the geometric Langlands correspondence},narrative-meta,must-upgrade,high,\begin{remark}[Periodicity frontier],Prune internal-project vocabulary from running prose,ALG-I
I0151,Core Theory,chapters/theory/derived_langlands.tex,,789,37,\chapter{Derived structures and the geometric Langlands correspondence},\chapter{Derived structures and the geometric Langlands correspondence},narrative-meta,must-upgrade,high,frontier.,Prune internal-project vocabulary from running prose,ALG-I
I0152,Core Theory,chapters/theory/derived_langlands.tex,,795,704,\subsection{The periodic CDG structure},\subsection{The periodic CDG structure},status-conjectured,must-upgrade,high,\ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0153,Core Theory,chapters/theory/derived_langlands.tex,,796,798,\subsection{Evidence for periodicity},\subsection{Evidence for periodicity},narrative-meta,must-upgrade,high,\begin{remark}[Scope boundary for periodicity],Prune internal-project vocabulary from running prose,ALG-I
I0154,Core Theory,chapters/theory/derived_langlands.tex,,797,815,\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},meta-heading,must-upgrade,critical,\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},Retitle or relocate heading outside theorematic flow,ALG-A
I0155,Core Theory,chapters/theory/derived_langlands.tex,,797,933,\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},status-conjectured,must-upgrade,high,\ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0156,Core Theory,chapters/theory/derived_langlands.tex,,797,938,\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},narrative-meta,must-upgrade,high,programme-level Kazhdan--Lusztig recovery on the semisimplified target,Prune internal-project vocabulary from running prose,ALG-I
I0157,Core Theory,chapters/theory/derived_langlands.tex,,797,951,\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},\section{Kazhdan--Lusztig from bar-cobar: chain-level adjunction and periodic frontier},narrative-meta,must-upgrade,high,"$\mathrm{Rep}^{\mathrm{fd}}(U_q(\fg))$ is an additional frontier,",Prune internal-project vocabulary from running prose,ALG-I
I0158,Core Theory,chapters/theory/derived_langlands.tex,,799,1044,\subsection{Roadmap: from critical level to KL},\subsection{Roadmap: from critical level to KL},narrative-meta,must-upgrade,high,"programme (critical level, opers) to the representation-theoretic",Prune internal-project vocabulary from running prose,ALG-I
I0159,Core Theory,chapters/theory/derived_langlands.tex,,799,1045,\subsection{Roadmap: from critical level to KL},\subsection{Roadmap: from critical level to KL},narrative-meta,must-upgrade,high,"Langlands programme (admissible level, quantum groups) through",Prune internal-project vocabulary from running prose,ALG-I
I0160,Core Theory,chapters/theory/derived_langlands.tex,,799,1055,\section{Connections to the geometric Langlands programme},\section{Connections to the geometric Langlands programme},meta-heading,must-upgrade,critical,\section{Connections to the geometric Langlands programme},Retitle or relocate heading outside theorematic flow,ALG-A
I0161,Core Theory,chapters/theory/derived_langlands.tex,,799,1059,\subsection{The Frenkel--Gaitsgory programme},\subsection{The Frenkel--Gaitsgory programme},meta-heading,must-upgrade,critical,\subsection{The Frenkel--Gaitsgory programme},Retitle or relocate heading outside theorematic flow,ALG-A
