volume,part,file,line,label,env_type,status,title,snippet,risk,attack_swarm,dismissal_stance,dismissal_reason
V1,connections,chapters/connections/concordance.tex,2723,conj:pixton-from-shadows,conjecture,Conjectured,Pixton ideal from shadow tower,". Tautological by construction. . Clutching-compatible via MC factorization. Additive under independent tensor products. For affine : (Example~). paragraph{Chriss--Ginzburg tautological programme.} The shadow tautological classes (Definition~, Theorem~) carry CohFT structure on (Theorem~); the CohFT axioms (flat identity, equivariance, splitting) are formal consequences of on the modular bar compl",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,2900,conj:vol2-hochschild-bridge,conjecture,Conjectured,Hochschild bridge,"(Remark~). item The genus expansion converges for chiral algebras on compact curves, with (Remark~). item Instanton sectors are organized by Novikov-completed bar complexes (Theorem~). end{enumerate} paragraph{Three frontier items.} begin{enumerate}[label= textup{( alph*)}] item emph{Matrix models as discretized shadow towers.} The random-surface genus expansion should be a discretization of the s",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,2940,conj:vol2-bv-functor-bridge,conjecture,Conjectured,BV functor bridge,"paragraph{Cross-references.} Proposition~ ( S); Remark~ ( S); Remark~ (Chapter~); Proposition~ ( S). section{Bridges to Volume~II} index{Volume II!bridges from Volume I} Volume~II develops the -chiral Hochschild theory in three space-time dimensions with the operad . Homotopy--Koszulity of is proved in Volume~II (via Kontsevich formality and transfer from the classical Swiss--cheese operad), so th",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,3318,conj:cumulant-recognition,conjecture,Conjectured,Cumulant recognition,the same Lagrangian polarization. See Remark~ for the compatibility. end{remark} subsection{Completion kinematics and the modular cumulant transform} index{completion kinematics|textbf} index{cumulant coalgebra|textbf} index{modular cumulant transform|textbf} The completion-tower theorem (Theorem~) resolves the formal MC4 obstacle. What remains is a emph{kinematic} theory of the completed dual: th,critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,3366,conj:jet-principle,conjecture,Conjectured,Jet principle,"cumulants (the defect begins ). subsubsection*{The entropy ladder} The completion entropy forms a monotone sequence (Proposition~): [ h_K( Walg_2) approx 0.567 ;< ; h_K( Walg_3) approx 0.772 ;< ; h_K( Walg_4) approx 0.835 ;< ; cdots ;< ; h_K( Walg_ infty) approx 0.872. ] The character admits a MacMahon factorization , where is the plane-partition generating function. The completion frontier is gov",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,3388,conj:grand-completion,conjecture,Conjectured,Grand completion,"The emph{cumulant coalgebra} is the completed cofree coalgebra on the desuspended dual of the primitive cumulant quotient (Definition~). For admissible~ satisfying reduced-weight finiteness and finite-window stabilization, as completed curved dg coalgebras.",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,3659,conj:categorical-modular-kd,conjecture,Conjectured,Categorical modular Koszul duality,"pairing, normalization, and obstruction profile. Proposition~ then reduces that rigidity statement further to a finite stabilizer computation on the labeled one-channel support graph: the fixed vertices must be exactly the simple-pole, residual-kernel, and Killing support lines. Proposition~ then reduces that stabilizer statement further to an explicit incidence-matrix / orbit-count computation on",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,4531,conj:derived-drinfeld-kohno,conjecture,Conjectured,Factorization-categorical DK/KL bridge (DK-3),"Theorem~ textup{} textup{)}, and the family index theorem follows. smallskip noindent emph{Open problems.} The following extensions use the same master diagram in richer geometric settings: (shifted-symplectic complementarity), derived Drinfeld--Kohno, and the elliptic extension. end{remark} subsection{The spectral discriminant as characteristic class} index{discriminant!characteristic class} The ",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/concordance.tex,5131,rem:chromatic-shadow-correspondence,remark,Conjectured,Chromatic-shadow correspondence,index{frontier!dependency structure} The three frontier problems are related by a emph{linear dependency chain}: [ textbf{P2} xrightarrow{ ; text{provides input} ;} textbf{P1} xrightarrow{ ; text{constrains} ;} textbf{P3}. ] textbf{P2} (proving~(H3) for general HT theories) establishes the well-defined inputs that textbf{P1} takes as its starting point. textbf{P1} (spectral sequence from log regul,medium,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,238,conj:master-dk-kl,conjecture,Conjectured,Staged factorization-categorical DK/KL extension,"ClaimStatusConjectured{} The proved DK-2/3 equivalence on the evaluation-generated core, equivalently on the theorematic domain , extends to an ordinary-derived/completed/coderived enlargement carrying the natural DK-relevant subcategories. On that enlargement, the ordered-factorization and dg-shifted comparison stages extend the derived Drinfeld--Kohno/Kazhdan--Lusztig correspondence beyond the c",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,297,conj:master-infinite-generator,conjecture,Conjectured,H-level target identification for standard infinite towers,"ClaimStatusConjectured{} The structural completion framework is textbf{proved} (Theorem~): the completed bar-cobar round-trip is a quasi-isomorphism on , and the coefficient-stability criterion (Theorem~) reduces convergence to finite-window matrix stabilization. What remains is the textbf{H-level target identification}: construct a principal-stage compatible filtered H-level target~ for the tower",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,412,conj:master-bv-brst,conjecture,Conjectured,BV/BRST/bar identification,"ClaimStatusConjectured{} For a holomorphic field theory on a Riemann surface, the BV/BRST complex coincides with the bar complex of the associated chiral algebra, at all genera. emph{This is the mathematical-physics bridge. It is downstream of Theorem~ textup{}, Theorem~ textup{}, and Conjectures~ textup{}-- textup{% }, and should not be placed on the same logical level. Genus- case: proved textup",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,1708,conj:vassiliev-bar,conjecture,Conjectured,Vassiliev invariants from bar complex,"ClaimStatusConjectured] index{Kontsevich integral!bar complex} For , the Feynman transform identification textup{(}Theorem~ textup{(ii))} produces universal Vassiliev invariants when specialized to configuration spaces of circles: begin{enumerate}[label= textup{( roman*)}] item The restriction textup{(}from complex curve to real circle textup{)} sends the holomorphic propagator to the Kontsevich p",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,1879,conj:anomaly-physical,conjecture,Conjectured,"Physical anomaly cancellation, higher genus","ClaimStatusConjectured] The genus- identifications of Theorem~ textup{} extend to all genera: the BV-BRST identification holds as a quasi-isomorphism of emph{genus-graded} complexes, so that the quantum master equation is the chain-level refinement of at every genus textup{(}Convention~ textup{)}.",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,1925,conj:ads-cft-bar,conjecture,Conjectured,Holographic duality from bar-cobar,"ClaimStatusConjectured] The curved bar complex of a boundary chiral algebra provides an algebraic model for the bulk theory on AdS : begin{enumerate}[label= textup{( roman*)}] item The bar complex computes the algebra of observables of twisted supergravity on AdS textup{(}Costello--Paquette cite{CP2020} textup{)}. item The curvature encodes the cosmological constant , with . item The genus expansi",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,2005,conj:3d-mirror,conjecture,Conjectured,3d mirror symmetry,"ClaimStatusConjectured] For 3d gauge theories with Coulomb and Higgs branches, -chiral Koszul duality provides the algebraic mechanism: begin{enumerate}[label= textup{( roman*)}] item The Coulomb branch algebra textup{(}in the sense of Braverman--Finkelberg--Nakajima cite{BFN18} textup{)} is the -chiral bar complex of the Higgs branch algebra. item The curved structure on the bar complex encodes m",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,2109,conj:nc-hodge,conjecture,Conjectured,Twistor interpretation of genus expansion,ClaimStatusConjectured] The genus expansion variable in the total bar complex plays the role of the twistor parameter in the Kontsevich--Soibelman noncommutative Hodge theory~ cite{KontsevichSoibelman}: there exists a -action on the de~Rham complex of the genus tower such that the weight- subspace at genus~ has dimension .,critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,2142,conj:analytic-completion-programme,conjecture,Conjectured,Analytic completion programme,ClaimStatusConjectured]% The algebraic bar-cobar engine admits a canonical analytic completion: begin{enumerate}[label= textup{( roman*)}] item emph{Sewing envelope}: the Hausdorff completion for the locally convex topology generated by sewing-amplitude seminorms is a universal analytic completion of the algebraic chiral core (Definition~). item emph{HS-sewing criterion}: under Hilbert--Schmidt se,critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/editorial_constitution.tex,2172,rem:analytic-programme-scope,remark,Conjectured,Scope,"All items are ClaimStatusConjectured{}. The Moriwaki construction is explicitly -categorical, metric-dependent, and restricted to conformally flat geometry; the explicit VOA-level example is the Heisenberg; extension to general unitary full VOAs is an expectation rather than a completed theorem. The programme is orthogonal to the algebraic proved core (Theorems~A--H); it asks whether the formal sh",medium,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_connection.tex,153,conj:bar-cobar-path-integral,conjecture,Conjectured,Bar-cobar as worldsheet path integral: general case,"For a general chiral algebra on , the bar complex computes: begin{equation} exp left( sum_{g,n} frac{1}{n!} int_{C_n( Sigma_g)} langle a(z_1) cdots a(z_n) rangle_g right) = det( mathbf{1} + bar{B}( cA)) end{equation} where the right side is the Fredholm determinant of the bar complex. Proved for at all genera textup{(}Theorem~ textup{)}; conjectural for interacting . Contributing to Conjecture~.",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_diagrams.tex,127,conj:physical-pairing,conjecture,Heuristic,Feynman rules dictionary,"The bar-cobar construction models Feynman rules. The bar complex carries off-shell amplitudes (logarithmic forms on the compactification~ provide infrared regularization); the cobar complex carries on-shell propagator templates (distributions on the open configuration space, with delta functions enforcing on-shell conditions); and the bar-cobar pairing models the S-matrix: [ langle omega_{ text{ba",high,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_diagrams.tex,253,conj:bar-graph-complex,conjecture,Heuristic,Bar complex and graph complex,"The chiral bar complex admits a quasi-isomorphism to the -decorated Kontsevich graph complex: , where vertices correspond to field insertions, edges to logarithmic forms~ , and the bar differential decomposes as edge contraction (residue), vertex splitting (boundary stratification), and decoration action.",critical,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_diagrams.tex,285,conj:disk-local-perturbative-fm,conjecture,Conjectured,Disk-local perturbative/FM comparison,"ClaimStatusConjectured] Let be a holomorphic disk chart on a curve, and suppose a holomorphic-topological perturbative field theory on~ produces the same local chiral algebra model . linebreak[1] Then the regularized perturbative BRST-anomaly brackets of Gaiotto--Kulp--Wu~ cite{GKW24} agree, on that disk chart, with the local bar operations cut out by the Fulton--MacPherson collision strata: begin",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_diagrams.tex,1053,conj:bphz-recursion,conjecture,Heuristic,BPHZ recursion = \texorpdfstring{$A_\infty$}{A-infinity} consistency,"The emph{uncurved} relations (with , corresponding to a stable vacuum): [ sum_{ substack{r+s+t=n s geq 1}} (-1)^{rs+t} m_{r+1+t}( mathrm{id}^{ otimes r} otimes m_s otimes mathrm{id}^{ otimes t}) = 0 ] are precisely the Bogoliubov--Parasiuk--Hepp--Zimmermann (BPHZ) recursion relations for renormalized Feynman amplitudes. (In the curved case , additional terms appear corresponding to tadpole inserti",high,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/feynman_diagrams.tex,1124,conj:bar-worldline,conjecture,Heuristic,Bar complex and worldline integrals,"The bar complex element: [ omega = phi_1(z_1) otimes cdots otimes phi_k(z_k) otimes bigwedge_{i<j} eta_{ij} ] is analogous to the integrand of the worldline Feynman amplitude before integration. The logarithmic forms encode the propagator singularities: [ eta_{ij} sim frac{d(z_i - z_j)}{z_i - z_j} sim G(z_i,z_j)^{-1} dG ]",critical,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/frontier_modular_holography_platonic.tex,1045,conj:frontier-bulk-enhancement-universal-mc,conjecture,Conjectured,Bulk enhancement: 3d geometric realization,"index{bulk factorization algebra!holographic enhancement conjecture|textbf} index{Maurer--Cartan class!universal nonlinear modular conjecture|textbf} Let be a modular Koszul chiral algebra on a smooth projective curve~ . Then there exists an enhanced bulk package textup{(}Note: the algebraic objects , the metaplectic anomaly, the scalar genus tower, and the nonlinear sewing calculus are all proved",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/frontier_modular_holography_platonic.tex,1338,conj:boundary-defect-realization,conjecture,Conjectured,Boundary--defect realization: modular lift,"index{boundary-defect realization!holographic} For a large transversal boundary condition~ , the boundary algebra of the KK-reduced HT theory is equivalent, as a derived chiral algebra, to the universal defect algebra of the original theory: begin{equation} cA_ partial^{ mathrm{transv}} ; simeq ; cA_{ mathrm{univ}}^!. end{equation} The theorem-level upgrade over existing work~ textup{ cite{GZ26}} ",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
