volume,file,line,text
V1,notes/PROGRAMMES.md,1338,- **Assessment**: the frontier is now decomposed into the three exact
V1,notes/PROGRAMMES.md,1372,- Frontier placement:
V1,notes/PROGRAMMES.md,1391,### VIII-h: Concordance frontier labels (session 121; one now theorematic)
V1,notes/PROGRAMMES.md,1441,"per-power timing confirms current practical default frontier at `n=6`, with Casimir"
V1,notes/PROGRAMMES.md,1451,stay full-strength on the stable window while keeping frontier checks executable.
V1,notes/PROGRAMMES.md,1457,The frontier backend now also prunes impossible weight/eigenvalue
V1,notes/PROGRAMMES.md,1461,"non-colliding frontier prime (`CASIMIR_MODULAR_PRIMES=(127,)`), and"
V1,notes/PROGRAMMES.md,1463,exact at the eigenspace level while reducing practical frontier time
V1,notes/PROGRAMMES.md,1466,"not improve the frontier (`n=5`: ~`26.7s` vs exact ~`1.85s`; `n=6`: >`240s`),"
V1,notes/PROGRAMMES.md,1591,than a generic universality slogan: construct the intrinsic cyclic
V1,modular_homotopy_treatise_audit.md,7,"- Volume I is already organized as a large treatise: Overture, Algebraic Engine, Standard Landscape, Bridges and Programmes, Frontier."
V1,modular_homotopy_treatise_audit.md,9,- Several Volume I files currently living under `appendices/` are promoted into the main theorem flow by `main.tex` and should be physically relocated into `chapters/` if the public architecture is to be stable.
V1,modular_homotopy_treatise_audit.md,10,"- Monster files should be split. A practical threshold from the audit is: split any file with >1500 lines, >120 references, or >=10 conjectural/conditional markers."
V1,modular_homotopy_treatise_audit.md,11,- Cross-volume references need a shared label system. Volume II currently carries many unresolved references which should be imported from Volume I rather than left unresolved.
V1,modular_homotopy_treatise_audit.md,38,"- `twisted_holography_quantum_gravity.tex` — short bridge form in V1, full frontier form in V2."
V2,README.md,33,"The stable-graph modular bar coalgebra in log-FM coordinates carries the five-component differential D<sup>log</sup><sub>mod</sub>&ensp;=&ensp;d<sub>&#x010C;</sub>&ensp;+&ensp;d<sub>Ch<sub>&infin;</sub></sub>&ensp;+&ensp;d<sub>coll</sub>&ensp;+&ensp;d<sub>sew</sub>&ensp;+&ensp;d<sub>loop</sub>, with boundary operators as residue correspondences on log-FM strata. The one-edge principle governs the theory: **trees govern chirality; loops govern modularity**. A deformation theory that only remember"
V2,README.md,103,<sub>501+ pages &ensp;&middot;&ensp; 41+ active files &ensp;&middot;&ensp; 500+ tagged claims &ensp;&middot;&ensp; 100% claim-tag coverage</sub>
V2,notes/PROGRAMMES.md,1,# RESEARCH PROGRAMMES — Volume II Frontier
V2,notes/PROGRAMMES.md,5,"algebraic frontier *after* the monograph, this document tracks what Volume II"
V2,notes/PROGRAMMES.md,6,"must accomplish, what it points toward, and how the two volumes converge."
V2,notes/PROGRAMMES.md,11,**Governing principle (Dual Imperative)**: Precision enables ambition. Every
V2,notes/PROGRAMMES.md,12,"front below must be honest about what is sketch, what is proof, and what is"
V2,notes/PROGRAMMES.md,13,aspiration. The physics voice must remain primary — these are physical results
V2,notes/PROGRAMMES.md,58,claims (35 PH + 7 PE). The remaining frontier is the standing physical axioms
V2,notes/PROGRAMMES.md,131,"Every claim about a specific physical theory (free multiplet, LG, CS, Virasoro, W₃)"
V2,notes/PROGRAMMES.md,132,"must have either a mathematical proof or a computational verification. Currently,"
V2,notes/PROGRAMMES.md,160,9. **Free fermion**: The bc system as an A∞ chiral algebra. Should exhibit F^! = βγ duality.
V2,notes/PROGRAMMES.md,178,| Claim | PROOF_ATLAS | Current state | What's needed |
V2,notes/PROGRAMMES.md,235,The five bridges between Vol I and Vol II must be formalized as labeled conjectures
V2,notes/PROGRAMMES.md,249,"- Claim: SC^{ch,top} bar-cobar on C×R specializes Vol I's bar-cobar on X."
V2,notes/PROGRAMMES.md,251,B_{SC}(A) should be quasi-isomorphic to B_{BD}(A_ch) where A_ch is the
V2,notes/PROGRAMMES.md,258,"**VERIFY THIS CLAIM.** If wrong, every sign comparison fails."
V2,notes/PROGRAMMES.md,261,- Claim: Dimensional reduction C×R → C sends Vol II's bulk=HC_ch to Vol I's Thm H.
V2,notes/PROGRAMMES.md,263,should be the BD chiral Hochschild complex of Vol I.
V2,notes/PROGRAMMES.md,269,- Claim: r(z) = Laplace of λ-bracket recovers the evaluation-locus R-matrix of Vol I.
V2,notes/PROGRAMMES.md,271,physically (bulk-boundary composition with propagator K) should equal the
V2,notes/PROGRAMMES.md,277,- Claim: Feynman-diagrammatic m_k for W-algebras matches Vol I's bar differential.
V2,notes/PROGRAMMES.md,279,diagrams on C×R should equal the components d_k of the bar differential
V2,notes/PROGRAMMES.md,283,the active frontier.
V2,notes/PROGRAMMES.md,286,- Claim: (H1)–(H4) define a functor HT-QFT → A∞-chirAl.
V2,notes/PROGRAMMES.md,305,genus tower should lift to A∞ with spectral parameters on Σ_g × R.
V2,notes/PROGRAMMES.md,313,"3. **Curved A∞**: On Σ_g, the A∞ structure should be curved: m₁² ≠ 0."
V2,notes/PROGRAMMES.md,314,The curvature m₀ should be related to Vol I's κ(A)·ω_g.
V2,notes/PROGRAMMES.md,315,4. **Formality obstruction**: The higher-genus A∞ algebra should NOT be formal
V2,notes/PROGRAMMES.md,316,(the PVA descent fails). The obstruction classes in H²(M̄_g) should be
V2,notes/PROGRAMMES.md,337,(H1)–(H4) + BV-BRST should imply chiral Koszulness for the resulting algebras.
V2,notes/PROGRAMMES.md,414,PHASE D (research frontier):
V2,notes/PROOF_ATLAS.md,17,"- **Claim**: SC^{ch,top} with FM_k(C) × E_1(m) is a well-defined colored operad"
V2,notes/PROOF_ATLAS.md,23,"- **Claim**: The closed (ch) color of SC^{ch,top} recovers the BD chiral operad via zigzag"
V2,notes/PROOF_ATLAS.md,28,"- **Claim**: Prefactorization algebras on C×R satisfying locality axioms ≃ C_*(W(SC^{ch,top}))-algebras"
V2,notes/PROOF_ATLAS.md,39,"- **Claim**: A C_*(W(SC^{ch,top}))-algebra produces m_k satisfying A∞ chiral axioms"
V2,notes/PROOF_ATLAS.md,49,"- **Claim**: Tame A∞ chiral data rectifies to C_*(W(SC^{ch,top}))-algebra"
