volume,file,line,label,title,env_type,status,suspicious_refs
V2,chapters/connections/conclusion.tex,941,thm:tree-wheel-bridge,,theorem,ProvedHere,prop:vir-truncation:Conditional ; prop:vir-truncation:Conditional
V2,chapters/connections/bar-cobar-review.tex,542,thm:steinberg-presentation,,theorem,ProvedHere,rem:steinberg-lagrangian-origin:Unknown
V2,chapters/connections/bar-cobar-review.tex,1475,cor:dodecahedron-lagrangian,,corollary,ProvedHere,thm:koszul-dodecahedron:Unknown
V2,chapters/connections/ym_synthesis.tex,1643,cor:stable-untwisting-bounded-error,Stable untwisting under bounded error; \ClaimStatusProvedHere,corollary,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V2,chapters/connections/modular_pva_quantization_frontier.tex,817,cor:w3-no-quadratic-self-obstruction,Classical $W_3$: no quadratic self-obstruction; \ClaimStatusProvedHere,corollary,ProvedHere,rem:vol2-genus-two-entry:Unknown
V2,chapters/connections/anomaly_completed_topological_holography.tex,1886,comp:abelian-cs-strict-datum,,computation,ProvedHere,rem:tholog-hmkd-comparison:Unknown
V2,chapters/connections/modular_pva_quantization.tex,2011,cor:w3-no-quadratic-self-obstruction,Classical $W_3$: no quadratic self-obstruction; \ClaimStatusProvedHere,corollary,ProvedHere,rem:vol2-genus-two-entry:Unknown
V2,chapters/connections/dg_shifted_factorization_bridge.tex,3,chap:dg-shifted-factorization,#1,remark,ProvedHere,rem:yangian-logical-status:Unknown
V2,chapters/connections/ym_synthesis_frontier.tex,626,cor:stable-untwisting-bounded-error,Stable untwisting under bounded error; \ClaimStatusProvedHere,corollary,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V2,chapters/connections/celestial_holography.tex,1047,prop:celestial-cross-conjecture,Cross-conjecture relation; \ClaimStatusProvedHere,proposition,ProvedHere,conj:explicit-charged-quartic-jet-provisional:Conjectured ; conj:first-mixed-bubble-coefficient-provisional:Conjectured
V2,chapters/connections/ordered_associative_chiral_kd_frontier.tex,1407,cor:bordered-fm-genus-zero,,corollary,ProvedHere,conj:bordered:Conjectured ; conj:bordered:Conjectured ; cor:bordered-from-CG:Unknown
V2,chapters/connections/thqg_symplectic_polarization.tex,1147,prop:thqg-III-compatibility,,proposition,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V2,chapters/connections/thqg_symplectic_polarization.tex,1762,thm:thqg-III-landscape-census,,theorem,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V2,chapters/connections/thqg_fm_calculus_extensions.tex,49,prop:fm4-boundary-strata,,proposition,ProvedHere,rem:nonconsecutive_vanishing:Unknown
V2,chapters/connections/anomaly_completed_frontier.tex,121,comp:abelian-cs-strict-datum,,computation,ProvedHere,rem:tholog-hmkd-comparison:Unknown
V2,chapters/connections/thqg_celestial_holography_extensions.tex,1532,comp:quartic-contact-residue,Quartic contact residue; \ClaimStatusProvedHere,computation,ProvedHere,rem:tiny-internal-support:Unknown
